Caso,Survived,Age,Passenger,Sex,Hermanos o Esposas,Niños,Tarifa
695,Yes,23,Third,Female,0,0,7.9
696,Yes,32,Third,Male,0,0,7.6
697,No,30,Third,Male,0,0,7.6
698,Yes,30,Third,Female,0,0,7.8
699,Yes,24,Third,Male,0,0,7.1
700,No,22,Third,Male,0,0,7.1
701,No,30,Third,Female,0,0,7.9
702,No,30,Third,Male,0,0,7.8
703,No,30,Third,Male,0,0,8.1
704,No,29,Third,Male,0,0,7.9
705,No,30.5,Third,Female,0,0,7.8
706,No,30,Third,Male,0,0,7.2
707,No,33,Third,Male,0,0,7.9
708,No,30,Third,Male,0,0,7.9
709,Yes,30,Third,Female,0,0,7.8
710,Yes,30,Third,Male,0,0,7.8
711,Yes,30,Third,Female,2,0,23.3
712,Yes,30,Third,Female,2,0,23.3
713,Yes,30,Third,Male,2,0,23.3
714,Yes,30,Third,Female,0,0,7.8
715,Yes,30,Third,Female,0,0,7.9
716,Yes,15,Third,Female,0,0,8
717,No,35,Third,Female,0,0,7.8
718,No,30,Third,Male,0,0,7.8
719,No,24,Third,Male,1,0,16.1
720,No,30,Third,Female,0,0,8.1
721,No,30,Third,Female,0,0,8.1
722,No,30,Third,Male,0,0,7.8
723,Yes,21,Third,Male,0,0,7.8
724,No,24,Third,Male,0,0,7.9
725,No,21,Third,Male,0,0,7.9
726,Yes,30,Third,Female,0,0,7.9
727,Yes,6,Third,Male,0,1,12.5
728,Yes,27,Third,Female,0,1,12.5
729,No,30,Third,Male,0,0,8.1
730,Yes,30,Third,Female,1,0,24.2
731,No,30,Third,Male,1,0,24.2
732,No,30,Third,Male,0,0,8.5
733,No,34,Third,Male,0,0,8.1
734,No,30,Third,Male,0,0,7.8
735,Yes,30,Third,Male,0,0,7.8
736,Yes,30,Third,Male,1,1,15.2
737,Yes,30,Third,Female,0,0,7.7
738,Yes,24,Third,Female,0,0,7.8
739,Yes,30,Third,Female,1,0,15.5
740,Yes,30,Third,Female,1,0,15.5
741,Yes,30,Third,Female,0,0,15.5
742,No,18,Third,Male,0,0,7.8
743,Yes,15,Third,Female,0,0,7.2
744,No,30,Third,Male,0,0,7.9
745,No,30,Third,Male,0,0,7.2
746,No,30,Third,Female,0,0,7.8
747,No,30,Third,Male,0,0,7.9
748,Yes,12,Third,Male,1,0,11.2
749,Yes,14,Third,Female,1,0,11.2
750,Yes,18,Third,Female,0,0,7.8
751,Yes,26,Third,Female,0,0,7.9
752,No,21,Third,Male,0,0,7.9
753,No,41,Third,Male,0,0,7.1
754,Yes,39,Third,Male,0,0,7.9
755,No,21,Third,Male,0,0,7.8
756,No,28.5,Third,Male,0,0,7.2
757,Yes,22,Third,Female,0,0,7.8
758,No,61,Third,Male,0,0,6.2
759,Yes,30,Third,Female,1,0,15.5
760,No,30,Third,Male,0,0,7.7
761,No,30,Third,Male,0,0,7.8
762,No,23,Third,Male,0,0,9.2
763,Yes,30,Third,Female,0,0,7.8
764,Yes,22,Third,Female,0,0,7.8
765,Yes,30,Third,Female,0,0,7.8
766,Yes,9,Third,Male,0,1,3.2
767,No,28,Third,Male,0,0,22.5
768,No,42,Third,Male,0,1,8.4
769,No,31,Third,Female,0,0,7.9
770,No,28,Third,Male,0,0,7.9
771,No,20,Third,Male,0,0,9.2
772,No,23,Third,Female,0,0,8.7
773,No,20,Third,Male,0,0,8.7
774,No,16,Third,Male,0,0,9.2
775,Yes,31,Third,Female,0,0,8.7
776,No,30,Third,Female,0,0,7.6
777,No,6,Third,Male,3,1,21.1
778,No,3,Third,Female,3,1,21.1
779,No,8,Third,Female,3,1,21.1
780,No,29,Third,Female,0,4,21.1
781,No,1,Third,Male,4,1,39.7
782,No,2,Third,Male,4,1,39.7
783,No,16,Third,Male,4,1,39.7
784,No,14,Third,Male,4,1,39.7
785,No,41,Third,Female,0,5,39.7
786,No,21,Third,Male,0,0,8.7
787,No,32,Third,Male,0,0,7.9
788,No,0.8,Third,Male,1,1,13.8
789,No,26,Third,Female,0,2,13.8
790,No,30,Third,Male,0,0,7
791,No,30,Third,Male,0,0,8.1
792,No,21,Third,Male,0,0,7.9
793,No,22,Third,Male,0,0,7.3
794,Yes,25,Third,Male,1,0,7.8
795,Yes,30,Third,Male,1,1,22.4
796,Yes,30,Third,Female,0,2,22.4
797,No,30,Third,Female,0,0,8.1
798,No,24,Third,Male,0,0,8.1
799,No,28,Third,Female,0,0,7.9
800,No,19,Third,Male,0,0,7.9
801,No,30,Third,Male,0,0,7.9
802,No,25,Third,Male,1,0,7.8
803,Yes,32,Third,Male,0,0,8.1
804,No,30,Third,Male,0,0,7.9
805,No,17,Third,Male,0,0,8.7
806,No,24,Third,Male,0,0,8.7
807,No,30,Third,Male,0,0,7.9
808,No,30,Third,Male,0,0,7.2
809,No,30,Third,Male,0,0,7.3
810,No,38,Third,Male,0,0,7.9
811,No,21,Third,Male,0,0,8.1
812,No,4,Third,Male,4,1,29.1
813,No,7,Third,Male,4,1,29.1
814,No,2,Third,Male,4,1,29.1
815,No,8,Third,Male,4,1,29.1
816,No,39,Third,Female,0,5,29.1
817,No,35,Third,Male,0,0,7.1
818,No,50,Third,Male,1,0,14.5
819,No,30,Third,Male,0,0,8.1
820,No,2,Third,Female,1,1,20.2
821,No,18,Third,Male,1,1,20.2
822,Yes,30,Third,Male,0,0,7.8
823,No,30,Third,Male,0,0,7.2
824,No,25,Third,Male,0,0,7.2
825,No,30,Third,Male,0,0,7.2
826,No,30,Third,Male,0,0,7.7
827,No,30,Third,Male,0,0,7.6
828,No,30,Third,Male,8,2,69.6
829,No,14.5,Third,Male,8,2,69.6
830,No,30,Third,Male,8,2,69.6
831,No,30,Third,Male,8,2,69.6
832,No,30,Third,Male,1,9,69.6
833,No,24,Third,Male,0,0,9.3
834,Yes,21,Third,Female,0,0,7.7
835,No,30,Third,Male,2,0,21.7
836,No,30,Third,Male,2,0,21.7
837,No,30,Third,Male,2,0,21.7
838,Yes,1,Third,Female,1,1,16.7
839,Yes,24,Third,Female,0,2,16.7
840,Yes,4,Third,Female,1,1,16.7
841,Yes,25,Third,Male,0,0,9.5
842,No,20,Third,Male,0,0,8.1
843,No,24.5,Third,Male,0,0,8.1
844,No,30,Third,Male,0,0,15.1
845,No,30,Third,Male,0,0,8.1
846,No,22,Third,Male,0,0,7.2
847,No,30,Third,Male,0,0,8.1
848,Yes,18,Third,Female,0,0,7.5
849,No,9,Third,Female,3,2,27.9
850,No,2,Third,Female,3,2,27.9
851,No,40,Third,Male,1,4,27.9
852,No,45,Third,Female,1,4,27.9
853,No,30,Third,Male,0,0,8.1
854,Yes,30,Third,Female,0,0,7.7
855,No,19,Third,Male,0,0,7.7
856,No,30,Third,Male,0,0,8.1
857,No,30,Third,Male,0,0,7.9
858,Yes,23,Third,Female,0,0,7.6
859,No,21,Third,Male,0,0,8.1
860,No,19,Third,Male,0,0,7.9
861,No,22,Third,Female,0,0,9.8
862,Yes,31,Third,Male,0,0,7.9
863,No,27,Third,Male,0,0,8.7
864,No,2,Third,Female,0,1,10.5
865,No,29,Third,Female,1,1,10.5
866,Yes,16,Third,Male,0,0,8.1
867,No,25,Third,Male,0,0,7.1
868,No,74,Third,Male,0,0,7.8
869,No,24,Third,Male,0,0,7.8
870,No,34,Third,Male,0,0,8.1
871,No,30,Third,Male,1,0,6.4
872,No,30,Third,Male,0,0,7.2
873,Yes,16,Third,Female,1,1,8.5
874,No,30,Third,Male,1,0,16.1
875,No,32,Third,Male,0,0,7.9
876,No,30,Third,Male,0,0,7.9
877,No,30,Third,Male,0,0,7.2
878,Yes,9,Third,Female,1,1,15.2
879,No,36,Third,Male,0,0,7.9
880,Yes,18,Third,Female,0,0,9.8
881,Yes,63,Third,Female,0,0,9.6
882,No,40.5,Third,Male,0,2,14.5
883,No,36,Third,Male,1,1,24.2
884,No,33,Third,Male,0,0,9.5
885,No,28,Third,Male,0,0,9.5
886,No,28,Third,Male,0,0,9.5
887,No,18,Third,Female,2,0,18
888,No,31,Third,Male,3,0,18
889,No,16,Third,Male,2,0,18
890,Yes,22,Third,Male,0,0,7.2
891,No,20,Third,Male,0,0,7.9
892,No,14,Third,Female,0,0,7.9
893,No,22,Third,Male,0,0,7.9
894,No,22,Third,Male,0,0,9
895,No,30,Third,Male,0,0,8.1
896,No,30,Third,Male,0,0,8.1
897,No,32.5,Third,Male,0,0,9.5
898,Yes,38,Third,Female,0,0,7.2
899,No,51,Third,Male,0,0,7.8
900,No,21,Third,Male,1,0,6.5
901,Yes,47,Third,Female,1,0,7
902,No,30,Third,Male,0,0,8.7
903,No,30,Third,Male,0,0,7.6
904,No,30,Third,Male,0,0,8.1
905,No,21,Third,Male,0,0,7.3
906,No,27,Third,Male,0,0,8.7
907,No,30,Third,Male,0,0,7.3
908,No,36,Third,Male,0,0,9.5
909,No,27,Third,Male,1,0,14.5
910,Yes,15,Third,Female,1,0,14.5
911,No,45.5,Third,Male,0,0,7.2
912,No,30,Third,Male,0,0,7.2
913,No,30,Third,Male,0,0,14.5
914,No,14.5,Third,Female,1,0,14.5
915,No,26.5,Third,Male,0,0,7.2
916,No,27,Third,Male,0,0,7.2
